cluster,barcode,abo_url,system_id,year,marker,work_title,main_title
21,Z103507401,http://data.onb.ac.at/ABO/+Z103507401,AC05928802,1617,TravelogueD17 Asien,Historia del regno del Voxu del Giapone,"Relation Vnd gründtlicher Bericht von deß Königreichs Voxu im Japonischen Keyserthumb Gottseliger Bekehrung/ vnd dessentwegen außgefertigter Ambasciada an Päbst: Heil: gen Rom Paulum den fünfften/ vnd an die Cathol: May: Philip: den dritten König in Hispania/ &c. Anno 1615.; Durch R.P.F. Lvdovicum Sotelvm S. Francisci Ordens der Discaltzen/ oder Parfüsser: Vnd den beygeordneten Durchleuchtigen/ vnd Hochgebornene Don: Rocuyemon Faxecura deß königlichen Geblüts/ einem hochedlen Ritter; Anfangs in Jtalienischer Sprach verfasset, von/ dem edlen und hochgelehrten Scipione Amato Romano V.I.D. als Interprete vnd Reißgefehrten diser Ambasciada. An jetzo aber zu Teutsch verwendet durch R.P.F. Thobiam Hendschelivm D. obbesagtes Francisc. Ordens der Strengern Obseruantz/ vnd dessen Conuents S. Hieron. zu Wien in Oesterreich Gymnasij sacræ Moralis Theologiæ Professorem"
22,Z26007720X,http://data.onb.ac.at/ABO/+Z26007720X,AC10053682,1613,TravelogueD17 Nordamerika,Brevissima relación de la destruyción de las Indias; (DE-588)4294888-5,Warhafftiger vnd gründlicher Bericht/ Der Hispanier grewlich: vnd abschewlichen Tyranney von jhnen in den WestJndien/ die newe Welt genant/ begangen; Erstlich/ Castilianisch durch Bischoff Bartholomæum de las Casas gebornen Hispaniern/ Presiger Ordens beschrieben: Vnd in der Königl. Statt Hispalis oder Sevilia in Spanien gedruckt: Nachmals ins Hochteutsch/ durch einen Liebhaber deß Vatterlands/ vbergesetzt. Jetzunder widerumb mit schönen Figuren gezieret/ zur Warnung vnd Beyspiel gedruckt
22,Z252901907,http://data.onb.ac.at/ABO/+Z252901907,AC08930434,1665,TravelogueD17 Nordamerika,Brevissima relación de la destruyción de las Indias; (DE-588)4294888-5,"Umbständige warhafftige Beschreibung Der Jndianischen Ländern/ so vor diesem von den Spaniern eingenommen und verwüst worden; Durchgehends mit schönen Kupfferstücken und lebhafften Figuren außgezieret; Erst in Lateinischer Sprach außgeben Durch Bartholomæum de las Casas, Bischoffen in Hispanien/ Jetzt aber in das Teutsche übersetzt/ und an vielen Orten verbessert/ in dieser neu= und letztern Edition"
23,Z180059703,http://data.onb.ac.at/ABO/+Z180059703,AC09729816,1681,TravelogueD17 Nordamerika Südamerika,"Leeven en daden der doorluchtighste zee-helden en ontdeckers van landen, deser eeuwen. Beginnende met Christoffel Colombus; 1676","Leben und Tapffere Thaten der aller=berühmtesten See=Helden/ Admiralen und Land=Erfinder unserer Zeiten/ angefangen mit Cristoforo Colombo Entdeckern der Neuen Welt/ und geendigt mit dem Welt=berühmten Admiral M. A. de Ruyter, Rittern/ etc.; Worinnen Viel seltsame Geschichten/ Ritterliche Verrichtungen/ klüglich=tapffere Anschläge/ und blutige See=Treffen/ aus beglaubten Schrifften und Originalien beurkundet/ und mit schönen Kupffer=Figuren beleuchtet/ zu finden sind:; Unlängst in Nider=Teutscher Sprache aufgesetzt/ durch V. D. B. Anjetzo aber in unsere Hoch=Teutsche reinlich überbracht/ Von Matthia Krämern/ Sprachmeistern. Samt einem Anhange/ Vieler Denckwürdigkeiten/ welche der Niderländische Author den Helden=Thaten Allmeyda/ Albuquerque/ und Acuniæ/ entweder ausgelassen/ oder nur kützlich/ beygtragen und erstattet/ Durch Erasmum Francisci"
23,Z162737708,http://data.onb.ac.at/ABO/+Z162737708,AC15353060,1681,TravelogueD17 Asien Europa; TravelogueD17 Orient,"Six Voyages en Turquie, en Perse, et aux Indes; http://viaf.org/viaf/3021148574265424430001","Beschreibung Der Sechs Reisen/ Welche Johan Baptista Tavernier, Ritter und Freyherr  von Aubonne. Jn Türckey/ Persien und Jndien/ innerhalb viertzig Jahren/ durch alle Wege/ die man nach diesen Länderen nehmen kan/ verrichtet:; Worinnen Vnterschiedliche Anmerckungen von der Beschaffenheit der Religion/ Regierung/ Gebräuchen und Handlungen/ jeglichen Landes enthalten. Samt den Figuren/ Gewichten und dem Maß der Müntzen/ welche in diesen Länderen gangbar sind. Anfangs Frantzösisch beschrieben/ und in drey Theil abgetheilt/ anjetzo aber nebenst der Beschreibung des Türckischen Serrails, und der Krönung des jetzt Regierenden Königs in Persien/; in der Hoch=Teutschen Sprach ans Liechts gestellt/ Durch Johann Herman Widerhold"
23,Z156319401,http://data.onb.ac.at/ABO/+Z156319401,AC09772037,1687,TravelogueD17 Asien,Relation de l'ambassade de Mr. le Chevalier de Chaumont à la cour du Roy de Siam; 1686,"Beschreibung der von Hn. Ritter de Chaumont Jm Nahmen und von wegen Deß Königs in Franckreich An den König zu Siam glücklich=verrichteten Gesandtschafft; Sampt einem außführlichen Bericht alles dessen/ was bey dieser weiten Räise merckwürdiges sich begeben und zugetragen. Nebens curieuser Erzehlung vom Staat/ Sitten/ Religion/ Handel und Wandel/ nicht nur deß Königreichs Siam/ sondern auch dero benachbarten Landen. Wie auch Eine richtige Verzeichnus deren kostbaren Præsenten an den König in Franckreich/ Monsieur, Madame la Douphine, und andere Grosse selbigen Hofes; Alles von Jhm selbst beschrieben/ und auß dem Frantzösischen verteutscht"
24,Z158022808,http://data.onb.ac.at/ABO/+Z158022808,AC09912736,1648,TravelogueD17 Europa,,"Heutelia, Das ist: Beschreibung einer Reiß/ so zween Exulanten durch Heuteliam gethan/ darinn verzeichnet/ 1. Was sie denckwürdig gesehen vnd in obacht genommen/ so wol in Geistlichen als Weltlichen. 2. Was sie für Discursen gehalten. 3. Was jhnen hin vnd wider begegnet"
24,Z164724109,http://data.onb.ac.at/ABO/+Z164724109,AC15338322,1678,TravelogueD17 Europa,,Wunderliche Begebnüssen und wunderlicher Zustand Jn dieser wunderlichen verkehrten Welt; Meistentheils auß eigener Efahrung und dann gottseliger/ verständiger/ erfahrner Leute Schrifften Wunderlich heraußgesucht
24,Z178361408,http://data.onb.ac.at/ABO/+Z178361408,AC09738294,1612,TravelogueD17 Afrika Asien Europa; TravelogueD17 Orient,Orientalische Reyß Des Edlen unnd Vesten Hanß Jacob Breüning; 1612,"Orientalische Reyß Deß Edlen vnnd Vesten/ Hanß Jacob Breüning/ von vnd zu Buochenbach/; so er selb ander in der Türckey/ vnder deß Türckischen Sultans Jurisdiction vnd Gebiet/ so wol in Europa als Asia vnnd Africa/ ohn einig Cuchium oder FreyGleit/ benantlich in GriechenLand/ Egypten/ Arabien/ Palestina/ das Heylige Gelobte Land vnd Syrien/ nicht ohne sondere grosse Gefahr/ vor dieser zeit verrichtet. Alles in Fünff vnderschiedliche Meerfahrten disponirt vnd abgetheylet/ auch was in einer jeden derselben/ von tag zu tag fürgangen/ ordentlich vom Authore selbsten verzeichnet: darinn ein jede abgesonderte Materj vnder ihr eigen Capitel oder Titul gebracht/ vnd mit schönen Kupfferstücken gezieret. Mit angehenckter Summarischer Computation alles Meylen: sampt einem kurtzen Appendice, vnd außführlichen Registern/ so wol der Capitel als anderer denckwirdigen sachen"
25,Z257381902,http://data.onb.ac.at/ABO/+Z257381902,AC06323994,1658,TravelogueD17 Asien Afrika; TravelogueD17 Orient,Journal und Observation; (DE-588)1171493207,<<Des HochEdelgebornen Johan Albrechts von Mandelslo>> Morgenländische Reyse=Beschreibung; Worinnen zugleich die Gelegenheit vnd heutiger Zustand etlicher fürnehmen Jndianischen Länder/ Provincien/ Städte vnd Jnsulen/ sampt derer Einnwohner Leben/ Sitten/ Glauben vnd Handthierung : wie auch die Beschaffenheit der Seefahrt über das Oceanische Meer; Heraus gegeben Durch Adam Olearium Mit desselben unterschiedlichen Notis oder Anmerckungen/ wie auch mit vielen Kupffer Platen gezieret
25,Z159574205,http://data.onb.ac.at/ABO/+Z159574205,AC09656610,1669,TravelogueD17 Orient; TravelogueD17 Afrika Asien,Orientalische Reise-Beschreibunge; 1669,"Orientalische Reise=Beschreibunge Jürgen Andersen aus Schleßwig der An. Christi 1644. außgezogen und 1650. wieder kommen; Und Volquard Jversen aus Holstein so An. 1655. außgezogen und 1668. wieder angelanget. Seynd beyde respective durch OstJndien/ Sina/ Tartarien/ Persien/ Türckeyen/ Arabien und Palestinam gezogen: und haben zu Wasser und Land viel merckliche Dinge gesehen und erfahren; Aus deren Bericht mit lust und auch verwunderung zu vernehmen die Beschaffenheit und heutiger Zustand der Jnsulen/ festen Länder/ Städte/ der Einwohner Leben/ Sitten und Lehre. Wie auch Von ihren erlittenen erbärmlichen Schiffbrüchen $c Heraus gegeben durch Adam Olearium, der regierenden Fürstl. Durchl. zu Schleßwig/ Holstein Bibliothecarium und Antiquarium. Mit dessen Notis, und etlicher Orter Erklärungen: Sampt vielen Kupfferstücken"
25,Z15248840X,http://data.onb.ac.at/ABO/+Z15248840X,AC10156722,1620,TravelogueD17 Europa,"Reise in Franckreich, Engelland und Niederland; 1620",<<Des Durchlauchtigen Hochgebornen Fürsten vnd Herrn/ Herrn Johann Ernsten des Jüngern/ Hertzogen zu Sachsen/ Gülich/ Cleve vnd Berg/ Landgrafen in Düringen/ Marggrafen zu Meissen/ Grafen zu der Margk vnd Ravenspurg/ Herrn zu Ravenstein:>> Reise Jn Franckreich/ Engelland vnd Niederland; Beschrieben durch Herrn Johan Wilhelm Neumayr von Ramßla
26,Z159579306,http://data.onb.ac.at/ABO/+Z159579306,AC10307408,1613,TravelogueD17 Asien Europa; TravelogueD17 Orient,Ein newe Reyßbeschreibung auß Teutschland Nach Constantinopel und Jerusalem; 1608,Ein newe Reyßbeschreibung auß Teutschland Nach Constantinopel vnd Jerusalem; Darinn die gelegenheit derselben Länder/ Städt/ Flecken/ Gebeu/ etc. der innwohnenten Völcker Art/ Sitten/ Gebräuch/ Trachten/ Religion vnd Gottesdienst/ etc. Jnsonderheit die jetzige ware gestalt deß H. Grabs/ der Stadt Jerusalem vnd anderer heiligen Oerter/ darbey allenthalben der heiligen Schrifft vnd deß Authoris Meynung hievon. Jtem welcher gestalt vnd was die Röm. Käys. Maj. durch jhrn Legaten dem Türckischen Käyser/ auch dessen fürnembsten Officirn/ jedem besonder zur Praesent vnter wegen vnd zu Constantinopel damals überliefern lassen/ sampt desselben werht vnd der Legaten Ampt/ Habilitation/ jährlichen besoldung/ ect. vnd gantzen Vnkosten daselbst. Deßgleichen deß Türckischen Reichs Gubernation/ Policey/ Hofhaltung/ nutzbarkeit deß Reysens/ vnd vielerley andern lustigen sachen/ Mit hundert schönen newen Figuren/ dergleichen  nie wirdt gewesen seyn/ Jn III. vnterschiedlichen Büchern; Auffs fleissigst eigner Person verzeichnet vnd abgerissen Durch Salomon Schweigger/ damal Diener am Evangelio übers dritt Jahr zu Constantinopel/ etc. Dieser zeit aber Prediger der Kirchen zu vnser Frawen in Nürnberg. Vnd jetzo auff offtes begehrn vieler fürnemer/ erfahrner vnnd guthertziger Leut männiglich so wol zum Trost vnd Warnung als zur Lust/ zum andern mal
26,Z105572305,http://data.onb.ac.at/ABO/+Z105572305,AC10307407,1608,TravelogueD17 Orient; TravelogueD17 Europa Asien,Ein newe Reyßbeschreibung auß Teutschland Nach Constantinopel und Jerusalem; 1608,Ein newe Reyßbeschreibung auß Teutschland Nach Constantinopel vnd Jerusalem; Darinn die gelegenheit derselben Länder/ Städt/ Flecken/ Gebew etc. der innwohnenten Völcker Art/ Sitten/ Gebreuch/ Trachten/ Religion vnd Gotteßdienst etc. Jn sonderheit die jetzige ware gestalt deß H. Grabs/ der Stadt Jerusalem vnd anderer heiligen Oerter/ darbey allenthalben der heiligen Schrifft vnd deß Authoris Meinung hievon. Jtem welcher gestalt vnd was die Röm. Keys. Maj. durch jhrn Legaten dem Türckischen Keyser/ auch dessen fürnembsten Officirn/ jedem besonder zur Praesent vnter wegen vnd zu Constantinopel damals überlieffern lassen/ sampt dasselben werth vnd der Legaten Ampt/ Habilitation/ jährlichen Besoldung etc. vnd gantzen Vnkosten daselbst. Deß gleichen deß Türckischen Reichs Gubernation/ Policey/ Hofhaltung/ nutzbarkeit deß Reysens/ vnd vielerley andern lustigen sachen/ Mit hundert schönen newen Figuren/ der gleichen nie wird gewesen seyn/ Jn III. vnterschiedlichen Büchern; Auffs fleissigst eigner Person verzeichnet vnd abgerissen Durch Salomon Schweigger/ damal Diener am Evangelio übers dritt Jar zu Constantinopel etc. Dieser Zeit aber Prediger der Kirchen zu vnder Frawen inn Nürnberg. Vnd jetzo auff offtes begehrn vieler fürnemer/ erfahrner vnd guthertziger Leut menniglich so wol zum Trost vnd Warnung als zur Lust
26,Z163300508,http://data.onb.ac.at/ABO/+Z163300508,AC09629630,1609,TravelogueD17 Orient; TravelogueD17 Europa Asien Afrika,Reyßbuch deß heyligen Lands,Reyßbuch deß H. Lands/; Darin[n]en deutlich begriffen/ alle vnd jede neuwe Meer vnnd Bilgerfahrten zum H. Grab/ so auß Andacht vnd Christlicher Anmutung zu den heiligen Orten/ bey Regierung deß vnüberwindtlichen/ jetzt regierenden Röm. Keys. Rodolphi II. vnsers allergnädigsten Herrn/ etc. von etlichen Fürsten/ Rittern/ vnd andern fürtrefflichen Ehr vnd Tugentliebenden/ Geistlichen vnd Weltlichen Standts Herrn/ zu Wasser vnd Land fürgenommen/ vnd durch wunderbarlich Abentheuwer/ auch vnglaublich grosse Gefahr Leibs vnd Guts/ vollnbracht/ vnd beschrieben worden: Durch Den Durchleuchtigen vnd Hochgebornen Fürsten vnd Herrn/ Herrn Nicolaum Christophorum Radziuili/ Hertzogen in Olike/ vnd Nyeßwießz/ Graffen in Szydlowiec vnd Myr/ etc. Strengen/ Edlen vnd Vesten/ Johann Schwallarten/ Rittern deß H. Grabs. Ehrwirdigen Herrn Salomon Schweyggern Theologen. Sampt eygentlicher Beschreibung/ vnd jetziger wahrer Gestalt/ deß gantzen heiligen vnd Aegyptischen Lands Palæstinæ/ beneben denselben einverleibter Landschafften/ Refieren/ Termineyen vnd Jnseln: Zudem aller darinn begriffener nahmhaffter Städt/ Flecken/ Dörffer/ Festungen/ Bergen/ Auwen/ Meer/ Wasser/ See: Bevorab der H. Stätt / inn vns ausserhalb der Stätt Jerusalem/ Bethlehem/ Bethanien/ vnd an den Fluß Jordan/ etc. an denen vnser Herr vnd Heylandt Christus die zeit seiner Wallfahrt auff Erden/ vnd dann das Werck vnser einigen Erlösung vollbracht hat. Demnach der angrentzenden/ benachbarten/ so wol der andern entlegenen Africanischen vnnd Asiatischen Herrschafften/ welche samptlich der Türckisch Keyser innhat vnd beherrschet. Ferne deß H. Grabs vnd anderer heiligen Oerter jetziger wahrhaffte Zustandt vnd Gelegenheit/ etc. Jtem welcher Gestalt/ vnd was die Röm. Keys. Mayest. durch jhren Legaten dem Türckischen Keyser/ auch dessen fürnembsten Officierern/ jedem besonder zum Præsent/ vnter Wegen/ vnd zu Constantinopel/ damals vberlieffern lassen: Sampt desselben Wehrt/ vnd der Legaten Ampt/ Habitation/ Jährlicher Besoldung/ etc. vnd gantzem Vnkosten daselbst. Deßgleichen deß Türckischen Reichs Gubernation/ Policey/ Hofhaltung/ Nutzbarkeit deß Reysens/ etc. Neben einer schönen vnd nothwendigen Vnterweisung/ was zu solcher Reyß nötig/ wie man dieselb anfahen/ vnd auff dem gantzen Weg sich verhalten soll
27,Z166665509,http://data.onb.ac.at/ABO/+Z166665509,AC09921668,1614,TravelogueD17 Asien,"Relaçam annal das cousas que fizeram os padres da companhia de Jesus, nas partes da India Oriental, & em alguas outras da conquista deste reyno nos annos de 607. & 608.","Jndianische Newe Relation/ Erster theil. WAs sich in der Goanischen Prouintz / vnd in der Mission Monomatapa/ Mogor/ auch in der Prouintz Cochin/ Malabaria/ China/ Pegu vnnd Maluco/ so wol in Geistlichen als Weltlichen Sachen/ vom 1607. 1608 vnd folgenden zugetragen; Vom R. Patre Fernando Guerreiro, der Societet Iesv, in Portugesischer Sprach beschriben. Nachmals auß dem zu Lißbona getruckten Exemplaren ins Teutsch gebracht"
27,Z166659108,http://data.onb.ac.at/ABO/+Z166659108,AC10241088,1611,TravelogueD17 Asien Nordamerika,"Drey newe Relationes erste, aus Japon, was sich darinn, so wol in Geist- als Weltlichen Sachen im Jahr Christi 1606. denckwürdigs zugetragen",Drey newe Relationes Erste/ auß Japon/ was sich darinn/ so wol in Geist= als Weltlichen Sachen im Jahr Christi 1606. denckwürdigs zugetragen. Andere/ von Missionibus oder Reisen/ so etliche Priester der Societet Jesu/ im Jahr 1607. in das Königreich Mexico angestelt. Dritte/ von ableiben deß mächtigen Königs Mogor / vnd wie nach selbigen in seinem Reich das Religion vnd Politisch wesen beschaffen. Auß vnderschidlichen der Societet Iesu Lateinischen/ Jtalianischen vnd Portugesischen Schreiben verteutscht
27,Z166665406,http://data.onb.ac.at/ABO/+Z166665406,AC06021769,1611,TravelogueD17 Asien,"Relaçam Annual das Cousas que fizeram os Padres da Companhia de Jesu nas partes da India Oriental, e em alguas outras da conquista deste Reyno nos annos de 606. et 607.; 1609",Historischer Bericht/ Was sich in dem grossen vnnd nun je lenger je mehr bekandten Königreich China/ in Verkündigung deß H. Evangelij und fortpflantzung des Catholischen Glaubens/ von 1604. vnd volgenden Jaren/ denckwürdigs zugetragen; Auß Portugesischen zu Lisabona gedruckten Exemplaren ins Teutsch gebracht; [Ermittelt: Fernão Guerreiro]
27,Z166665108,http://data.onb.ac.at/ABO/+Z166665108,AC10241087,1611,TravelogueD17 Asien Nordamerika,"Drey newe Relationes erste, aus Japon, was sich darinn, so wol in Geist- als Weltlichen Sachen im Jahr Christi 1606. denckwürdigs zugetragen",Drey newe Relationes Erste/ auß Japoñ/ was sich darinn/ so wol in Geist= als Weltlichen Sachen im Jahr Christi 1606. denckwürdigs zugetragen. Andere/ von Missionibus oder Reisen/ so etliche Priester der Societet Jesu/ im Jar 1607. in das Königreich Mexico angestelt. Dritte/ von ableiben deß mächtigen Königs Mogor/ vnd wie nach selbigem in seinem Reich das Religion vnd Politisch wesen beschaffen. Auß vnderschidlichen der Societet Iesu Lateinischen/ Jtalianischen vnd Portugesischen Schreiben verteutscht
28,Z168352201,http://data.onb.ac.at/ABO/+Z168352201,AC05861612,1613,TravelogueD17 Afrika Asien,"Kurtzer Verfolg und Continuirung der Reise, so von den Holl- und Seeländern in die OstIndien mit neun grossen und vier kleinen Schiffen vom 1607. biß in das 1612. Jahr, unter der Admiralschafft Peter Wilhelm Verhuffen verrichtet worden",Eylffte Schiffart ander Theil/ Oder Kurtzer Verfolg vnd Continuirung der Reyse/ so von den Holl= vnd Seeländern in die OstJndien mit neun grossen vnd vier kleinen Schiffen vom 1607. biß in das 1612. Jahr/ vnter der Admiralschafft Peter Wilhelm Verhuffen verrichtet worden/ beneben etlichen Collpquien vnd Gesprechen/ in Teutscher/ Malaischer vnd Madagascarischer Sprach beschrieben/ allem so der Ost Jndianischen Reyse sich gebrauchen/ fast nutz vnd nothwendig zu lesen/ etc. Auß kurtzer Verzeichnus Johann Verkens von Leipzig/ zusamen gebracht vnd an Tag geben/ durch M. G. A. D
28,Z185144903,http://data.onb.ac.at/ABO/+Z185144903,AC11093711,1612,TravelogueD17 Asien,"Kurtze Beschreibung einer Reise, so von den Holländern und Seeländern, in die OstIndien, mit neun grossen und vier kleinen Jagschiffen, under der Admiralschafft Peter Wilhelm Verhuffen, [et]c. in den Jahren 1607. 1608. und 109. verrichtet worden",Neundter Theil Orientalischer Jndien/ Darinnen begrieffen Ein kurtze Beschreibung einer Reyse/ so von den Holländern vn[d] Seeländern/ in die Orientalischen Jndien/ mit neun grossen vnd vier kleinen Schiffen/ vnter der Admiralschafft Peter Wilhelm Verhuffen/ in Jahren 1607. 1608. vnd 1609. verricht worden/; neben Vermeldung/ was ihnen fürnemlich auff solcher Reyse begegnet vnnd zu Handen gangen; Auß kurtzer Verzeichnus Johann Verkens zusammen gebracht/ vnd in Truck verfertiget/ Durch M. Gotthard Arthvs von Dantzig
28,Z168355007,http://data.onb.ac.at/ABO/+Z168355007,AC05861593,1612,TravelogueD17 Afrika Asien,"Kurtze Beschreibung einer Reise, so von den Holländern und Seeländern, in die OstIndien, mit neun grossen und vier kleinen Jagschiffen, under der Admiralschafft Peter Wilhelm Verhuffen, [et]c. in den Jahren 1607. 1608. und 109. verrichtet worden",Eylffte Schiffart/ Oder Kurtze Beschreibung einer Reyse/ so von den Holländern vnd Seeländern/ in die Ost Jndien/ mit neun grossen vnd vier kleinen Jagschiffen/ vnder der Admiralschafft Peter Wilhelm Verhuffen/ &c. in Jahren 1607. 1608. vnd 1609. verrichtet worden/ neben vermeldung/ was jhnen sonderlich begegnet sey; Auß kurtzer Verzeichnuß Johann Verkens von Leiptzig zusammen gebracht/ vnd an Tag geben
28,Z168352109,http://data.onb.ac.at/ABO/+Z168352109,AC13795358,1623,TravelogueD17 Asien,"Kurtze Beschreibung einer Reise, so von den Holländern und Seeländern, in die OstIndien, mit neun grossen und vier kleinen Jagschiffen, under der Admiralschafft Peter Wilhelm Verhuffen, [et]c. in den Jahren 1607. 1608. und 109. verrichtet worden",Eylffte Schiffart/ Oder Kurtze Beschreibung einer Reyse/ so von den Holländern und Seeländern/ in die OstJndien/ mit neun grossen vnd vier kleinen Jagschiffen/ vnder der Admiralschafft Peter Wilhelm Verhuffen/ [et]c. in den Jahren 1607. 1608. vnd 109. verrichtet worden/ neben vermeldung/ was ihnen sonderlich begegnet sey; Auß kurtzer Verzeichnuß Johann Verkens von Leipzig zusammen gebracht/ vnd an Tag geben
29,Z168354908,http://data.onb.ac.at/ABO/+Z168354908,AC06602256,1608,TravelogueD17 Afrika Asien,,Zehende Schiffart oder Reyse der Holländer vnnd Seeländer in Ost Jndien beschehen vnder dem Admiral Cornelis Matelief dem Jungen/ so mit eylff grossen Schiffen Anno 1605. den 12. Maij auß Hollandt abgeloffen vnd im Mertzen dieses 1608. nach gehaltener Schlacht vor Malacca wider mit zweyen Schiffen wol ist angekommen; Zusammen gebracht vnnd beschrieben auß Niderländischer Verzeichnuß durch einen Liebhaber der Schiffahrten
29,Z168351907,http://data.onb.ac.at/ABO/+Z168351907,AC05859864,1612,TravelogueD17 Asien Ozeanien,"Gründtliche Erklärung, was sich mit den Holl- unnd Seeländern in Ost-Indien Anno 1604, und 1605. unter dem Admiral Steffan von der Hagen zugetragen",Neundte Schiffart/ Das ist: Gründliche Erklärung/ was sich mit den Holl= vnd Seeländern in Ost=Jndien Anno 1604. vnd 1605. vnter dem Admiral Steffan von der Hagen zugetragen/ vnd wie sie endlich in jüngst abgeloffenem Aprili mit zwey Schiffen in Hollandt ankommen
29,Z168354805,http://data.onb.ac.at/ABO/+Z168354805,AC05859790,1606,TravelogueD17 Asien Ozeanien,"Gründtliche Erklärung, was sich mit den Holl- unnd Seeländern in Ost-Indien Anno 1604, und 1605. unter dem Admiral Steffan von der Hagen zugetragen",Neundte Schiffart/ Das ist: Gründtliche Erklärung/ was sich mit den Holl= vnnd Seeländern in Ost=Jndien Anno 1604. vnd 1605. vnter dem Admiral Steffan von der Hagen zugetragen/ vnd wie sie endlich in jüngst abgeloffenem Aprili mit zwey Schiffen in Hollandt ankommen
29,Z168354702,http://data.onb.ac.at/ABO/+Z168354702,AC05859839,1608,TravelogueD17 Asien,Kurze Beschreibung etlicher Reisen so die Holländer und Seeländer in die OstIndien von Anno 1599 biß Anno 1604 getan und was ihnen auf denselben begegnet,Achte Schiffart oder Kurtze Beschreibung etlicher Reysen so die Holländer vnd Seeländer in die Ost Jndien von Anno 1599 biß Anno 1604 gethan: vnd was jhnen auff denselben begegnet; Zusammen gebracht durch Weyland Leuinum Hulsium
29,Z168352006,http://data.onb.ac.at/ABO/+Z168352006,AC05861582,1613,TravelogueD17 Afrika Asien,,Zehende Schiffart oder Reyse der Holländer und Seeländer in OstJndien/ beschehen unter dem Admiral Cornelis Matelief dem Jungen/ so mit Eylff grossen Schiffen anno 1605. den 12. Maij auß Hollandt abgeloffen vnd im Mertzen dieses 1608. nach gehaltener Schlacht vor Malacca wider mit zweyen Schiffen wol ist ankommen. Zusammen gebracht vnnd beschrieben auß Niderländischer Verzeichnuß durch einen Liebhaber der Schiffahrten
29,Z168351804,http://data.onb.ac.at/ABO/+Z168351804,AC13780349,1640,TravelogueD17 Asien,Kurze Beschreibung etlicher Reisen so die Holländer und Seeländer in die OstIndien von Anno 1599 biß Anno 1604 getan und was ihnen auf denselben begegnet,Achte Schiffahrt/ oder Kurze Beschreibung etlicher Reysen/ so die Holländer und Seeländer in die Ost Jndien von Anno 1599. biß Anno 1604. gethan: vnd was ihnen auff denselben begegnet; Zusammen gebracht durch Weyland Levinum Hulsium
30,Z27280208,http://data.onb.ac.at/ABO/+Z27280208,AC02665117,1687,TravelogueD17 Orient; TravelogueD17 Asien,Journal du voyage du chevalier Chardin en Perse et aux Indes Orientales; 1686,"<<Des vortrefflichen Ritters Chardin, des grossen Königs Persien Hoff=Handelsmanns/>> Curieuse Persian= und Ost=Jndische Reise=Beschreibung/; Bestehend in einem ordentlichen Journal Oder Täglichen Verzeichnüß seiner in Persien und Ost=Jndien über das Schwartze Meer und den Cholchidem abgelegter Reisen; Erstlich vom Authore selbst in Frantzösischer Sprach beschrieben/ nachgehends in die Englische ; anitzo aber wegen seiner Vortreffligkeit in die Hochdeutsche übersetzet/ mit schönen Kupffern gezieret/ und nöthigem Register versehen"
30,Z221886406,http://data.onb.ac.at/ABO/+Z221886406,AC09750435,1693,TravelogueD17 Europa,"Some letters containing an account of what seemed most remarkable in Switzerland, Italy &c","<<Des berühmten Englischen Bischoffs zu Salisbury Gilberti Burnets>> Durch die Schweitz/ Jtalien/ auch einige Oerter Deutschlandes und Franckreichs vor wenig Jahren gethane Rejse/; Und derselben Curieuse Beschreibung/ Worinnen die neuesten Im Geist= und weltlichen Staat entstandene Revolutiones enthalten ; Nebenst einem Anhang/ Jn welchem ausführlich von dem Qvietismo, Lebens=Beschreibung Molinos, und vielen andern Jtalien betreffenden Begebenheiten gehandelt wird/ Anfänglich in Englisch ietzo aber in deutscher Sprache beschrieben/ un din dieser dritten Edition nach dem Englischen mit Fleiß übersehen und verbessert"
30,Z258853601,http://data.onb.ac.at/ABO/+Z258853601,AC03958445,1693,TravelogueD17 Afrika Asien Europa; TravelogueD17 Orient,Voyages tant en Europe qu'en Asie et en Afrique,"<<Deß Herrn Thevenots>> Reisen In Europa, Asia und Africa"
30,Z59449401,http://data.onb.ac.at/ABO/+Z59449401,AC03958402,1693,TravelogueD17 Afrika Asien Europa; TravelogueD17 Orient,Voyages tant en Europe qu'en Asie et en Afrique,"<<Deß Herrn Thevenots>> Reisen In Europa, Asia und Africa; Worinnen gehandelt wird von der Morgenländischen Reise/  und unter andern denen unterthänigen Herrschaften deß Groß=Türcken/ denen Sitten/ Religionen/ Machten/ Weltlichen Regiment/ Sprachen und Gebräuchen derer Jnwohner dieses grossen Reichs/ Wie auch Denen unterschiedenen Umbständen deß Archipelagi, Constantinopels/ deß heyligen Landes/ Egyptens/ der Pyramiden/ Mumien/ deren Wüsten Arabiens/ Mecha/ und anderer Orthen mehr in Asia und Africa, dergleichen seithero wenig angemerckt und von andern beschrieben worden/ Benebenst Denen merckwürdigsten Begebenheiten bey der Belagerung Bagdats, denen gebrauchten Ceremonien bey Annehmung derer Abgesandten deß Groß-Mogols und dem Gespräche deß Autoris mit dem Pretejan von dem Ursprung deß Nili. Erstlich in Frantzösischer Sprache beschrieben/ mit schönen Kupffern geziehret/ und 3. vollständigen Registern versehen/ anjetzo aber in die Hoch-Teutsche Sprache auff grosses Verlagen übersetzet/ und Jn drey Theil verfassert; Deß Herrn Thevenots"
