Spalte1,Systemnummer,MMS-ID,Volltext,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Druckort normiert ; GND-ID,Verlagsort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr normiert,Kollation,Illustrationen,Format,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Spalte2,Inhalt,Enthaltenen Werke,Schlagworte,Marker,Signatur,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Kollation2,4,Barcode,Spalte3,Spalte4,Spalte5
8,AC09705661,990028584380603338,http://data.onb.ac.at/ABO/%2BZ168354404,"Raleigh, Walter; (DE-588)118641859",Discoverie of Guiana; (DE-588)4489710-8,Schiffart; 5,<<Die>> Fünffte Kurtze Wunderbare Beschreibung/ Deß Goldreichen Königsreichs Guianæ in America oder neuen Welt/ vnter der linea Æquinoctiali gelegen:; So neulich Anno 1594. 1595 vnd 1596 von dem Wolgebornen Herrn/ Herrn Walthero Ralegh einem Engelischen Ritter/ besucht worden; Erstlich auß befehl seiner Gnaden in zweyen Büchlein beschrieben/ daraus Jodocus Hondius/ ein schöne Land Tafel/ mit einer Niderländischen erklärung gemacht. Jetzt aber ins Hochteutsch gebracht/ vnd auß vnterschiedlichen Authoribus erkläret,,,Noribergæ,Nürnberg; (DE-588)4042742-0,Nürnberg; (DE-588)4042742-0,Typis Christophori Lochneri;Impensis Levini Hulsii,"Hulsius, Levinus; (DE-588)117056235","Lochner, Christoph; (DE-588)103751873X",1603,1603,"5 ungezählte Seiten, 17 Seiten, 1 ungezählte Seite, 1 ungezähltes gefaltete Blatt Karte, 6 ungezählte Blätter Bildtafeln","7 Illustrationen, 1 Karte",4°,ger,eng,Aus dem Englischen übersetzt,VD17 7:692829H,,"Hulsius, Levinus; (DE-588)117056235",,,,"Hondius, Jodocus; Hulsius, Levinus; (DE-588)119072149; (DE-588)117056235",,,Reisebericht,,,,Venezolanisch-Guayana; Forschungsreise; Geschichte 1594-1596,TravelogueD17 Südamerika,393579-B MAG,"Die Illustrationen sind 1 illustrierender Titelkupfer, 1 Kupferstich-Karte und 6 Kupferstichillustrationen. - Holzschnitt-Vignetten und Holzschnitt-Initialen im Text ; Gedruckte Marginalien ", Bibliografischer Nachweis: VD17 7:692829H. - Gekürzte Übersetzung eines Reiseberichts von Walter Raleigh ," Vorlageform der Veröffentlichungsangabe: Im Kolophon: Gedruckt zu Nürnberg/ durch Christoff Lochner/ Jn verlegung Levini Hulsij. ; Auf dem Titelblatt: Noribergæ, Typis Christophori Lochneri, Impensis Levini Hulsii. M. D CIII. ", Signaturformel: A-C4,,Z168354404,,,
9,AC13779622,990051043330603338,http://data.onb.ac.at/ABO/%2BZ168351506,"Raleigh, Walter; (DE-588)118641859",Discoverie of Guiana; (DE-588)4489710-8,Schiffart; 5,"<<Die>> Fünffte Kurtze Wunderbare Beschreibung/ Deß Goldreichen Königreichs Guianæ in America oder neuen Welt/ vnter der linea Æquinoctiali gelegen:; So neulich Anno 1594. 1595. vnd 1596. von dem Wolgebornen Herrn/ Herrn Walthero Ralegh einem Engelischen Ritter/ besucht worden:; Erstlich auß Befehl seiner Gnaden in zweyen Büchlein beschrieben/ daran Jodocus Hondius, eine schöne Land=Tafel/ mit einer Niderländischen erklärung gemacht. Jetzt aber ins Hochteutsch gebracht/ vnd auß vnterschiedlichen Authoribus erkläret",,,Franckfurt am Mäyn,,Frankfurt am Main; (DE-588)4018118-2,Jn Verlägung Christoff le Blon,"Le Blon, Christoph; (DE-588)129782793",,1663,1663,"5 ungezählte Seiten, 17 Seiten, 1 ungezähltes gefaltetes Blatt Karte, 6 ungezählte Blätter Bildtafeln","7 Illustrationen, 1 Karte",4°,ger,eng,Aus dem Englischen übersetzt,,,"Hulsius, Levinus; (DE-588)117056235",,"Hondius, Jodocus; (DE-588)119072149",,"Hulsius, Levinus; (DE-588)117056235",,,Reisebericht,,,,Forschungsreise; Venezolanisch-Guayana; Brasilien; Geschichte 1594-1596,TravelogueD17 Südamerika,"568641-B.1,5 MAG","Die Illustrationen sind 1 illustrierender Titelkupfer, 1 Kupferstich-Karte und 7 Kupferstich-Illustrationen. - Holzschnitt-Zierleisten, Initialen im Text ; Gedruckte Marginalien "," Bibliografischer Nachweis: Palmer, German works on America, 341 ; archive.org: urn:oclc:record:1043003665. - Gekürzte Übersetzung eines Reiseberichtes von Walter Raleigh ", Blatt A2a-A3a: Vorrede des Verlegers an den Leser. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Franckfurt am Mäyn/ Jn Verlägung Christoff le Blon. Jm Jahr/ M. DC. LXIII. , Signaturformel: A-C4,,Z168351506,,,
48,AC09625879,990036422670603338,http://data.onb.ac.at/ABO/%2BZ163301501,"Raleigh, Walter; (DE-588)118641859",Discoverie of Guiana; (DE-588)4489710-8,[America]; 8,"Achter Theil Americæ, Darinnen Erstlich beschrieben wird das Mächtige vnd Goldtreiche Königreich Guiana zu Norden deß grossen Flusses Orenoke; Entdecket vnd beschrieben durch Herrn Walther Rhaleg/ Rittern/ vnd Hauptmann Königlicher Mayestät in Engelland Leibsquardi. Zum andern/ Eine Reyse Herrn Thomas Candisch/ Admirals/ welcher im Jahr 1586. das Meer bey 13000. Englischer Meylen besegelt/ und anno 1588. wieder zu Haus angelangt. Vnd dann drey sonderbare Reysen Herrn Frantzen Drakens/ Ritters/ so er in Jahren 1577. 1585. vnd 1595. vollbracht vnd was seine verrichtungen gewest. Auß dem Holländischen ins Hochteutsch vbersetzt/ vnd mit einer schönen LandTafel Guianæ so bald im anfang deß Wercks zu sehen auch andern viel künstlichen Kupfferstücken gezieret. Durch Joh. Theod. De Bry. Von Newem vbersehen in ein richtiger Ordnung gebracht/ vnd zum andernmahl vffgelegt/ auch mit vielen Kupfferstücken vber vorige vermehret",,Von Newen vbersehen in ein richtiger Ordnung gebracht/ vnd zum andernmahl vffgelegt/ auch mit vielen Kupfferstücken vber vorige vermehret,Franckfurt,Frankfurt am Main; (DE-588)4018118-2,Frankfurt am Main; (DE-588)4018118-2,Bey Caspar Rödtel;Jn Verlegung Weiland Johannis Theodori de Bry Seeligen Erben,"Bry, Johann Israel <<de>>; (DE-588)118516396","Rötel, Kaspar; (DE-588)1037507312",1624,1624,"4 ungezählte Seiten, 130 Seiten, 1 ungezählte gefaltetes Blatt Karte","21 Illustrationen, 2 Karten",2°,ger,eng,Aus dem Niederländischen übersetzt von August Cassiodorus Reyna. Originalsprache des Werkes ist Englisch,VD17 23:267895B,"Cavendish, Thomas;Drake, Francis; (DE-588)118668897;(DE-588)118527207","Bry, Theodor <<de>>; (DE-588)118516418","Reina, Agostino <<de>>; (DE-588)130177555","Bry, Johann Theodor <<de>>;Bry, Johann Israel <<de>>; (DE-588)11851640X;(DE-588)118516396",,"Merian, Matthaeus; (DE-588)118581090",,,Reisebericht,,,,"Amerika;Forschungsreise;Amerika;Geschichte 16. Jh. - 17. Jh.;Indianer;Spanier;Amerika;Kolonisation;Geschichte;Spanien;Kritik;Cavendish, Thomas; Reise; Geschichte 1586-1588; Schiffsreise; Drake, Francis; Reise; Schiffsreise; Geschichte 1577-1595; Venezolanisch-Guayana; Reise; Schiffsreise; Geschichte 1594-1596; Raleigh, Walter",TravelogueD17 Südamerika,253767-D.8 MAG,"Die Illustrationen umfassen 1 Karte als Titelkupfer, 1 Kupferstich-Karte und 21 Kupferstich-Illustrationen. - Holzschnitt-Vignetten und Holzschnitt-Initialen im Text ; Text zweispaltig gedruckt ; Gedruckte Marginalien "," Bibliografischer Nachweis: VD17 23:267895B ; Sabin III, S. 55 ", Blatt )(2a-b: Vorrede an den Leser. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Franckfurt. Bey Caspar Rödtel: Jn Verlegung Weiland Johannis Theodori de Bry Seeligen Erben. M. DC. XXIV. ," Signaturformel: )(2, A-P, Q6 ; Blatt Q6 unbedruckt",,Z163301501,,,
66,AC07938330,9958513538803338,http://data.onb.ac.at/ABO/%2BZ159579100,"Rauwolf, Leonhard; (DE-588)118749358",Aigentliche Beschreibung der Raiss inn die Morgenländer; (DE-588)4816378-8,,"<<Leonis Flaminii>> Itinerarium Per Palæstinam; Das ist/ Eine mit vielen schönen Curiositæten angefüllte Reiß=Beschreibung; mit Fleiß und wohl bedacht außgefertiget von obig=erwehnten Leone Flaminio, Rerum Exoticarum Admiratore & Cultore",,,Gedruckt zu Rotenburg,Rothenburg ob der Tauber; (DE-588)4050698-8,Rothenburg ob der Tauber; (DE-588)4050698-8,bey Noah von Millenau,"Millenau, Noah <<von>>; (DE-588)1037522532","Millenau, Noah <<von>>; (DE-588)1037522532",1682,1682,"4 ungezählte Seiten, 240 Seiten, 1 ungezählte Seiten, 1 ungezähltes Blatt Bildtafel, 10 ungezählte gefaltete Blätter Bildtafeln","4 Karten, 7 Illustrationen",4°,ger,,,VD17 3:602559G,,,,,,,,,Reisebericht,,,,Orient; Reise; Palästina; Geschichte 1573-1576; Naher Osten; Osmanisches Reich,TravelogueD17 Asien; TravelogueD17 Orient,48.E.28 PRUNK,"Die Illustrationen sind 1 illustrierender Kupfertitel als Frontispiz, 4 Kupferstich-Karten, 6 Kupferstich-Illustrationen.  - Titelblatt in Rot- und Schwarzdruck ; Holzschnitt-Initialen und Holzschnitt-Vignetten im Text "," Bibliografischer Nachweis: VD17 3:602559G ; Yerasimos (1991), S. 300 (dort mit Erscheinungsjahr 1681) ", Ungezählte Seite 4: Vorrede. - Vorlageform der Veröffentlichungsangabe: Gedruckt zu Rotenburg/ bey Noah von Millenau/ 1682. ," Signaturformel: [2], A-Z4, Aa-GG4, [1]. - Enthält am Ende 2 ungezählte Seiten Buchbinderanweisung",,Z159579100,,,
184,AC10247606,990034123310603338,http://data.onb.ac.at/ABO/%2BZ221886200,"Richshoffer, Ambrosius; (DE-588)129455776",,,"<<Ambrosii Richßhoffers,>> Braßilianisch= und WestJndianische Reiße Beschreibung",,,Straßburg,Straßburg; (DE-588)4057878-1,Straßburg; (DE-588)4057878-1,Beÿ Joßias Städeln,"Staedel, Josias; (DE-588)100276199","Staedel, Josias; (DE-588)100276199",1677,1677,"182 Seiten, 5 ungezählte Seiten, 2 ungezählte Blätter Bildtafeln, 4 ungezählte gefaltete Blätter Bildtafeln","4 Illustrationen, 2 Karten",8°,ger,,,VD17 23:316929Y,,,,"Bockenhoffer, Johann Joachim;Rapp, Johann Heinrich; (DE-588)120075970;(DE-588)122697545",,"Sartorius, Johann Christoph; (DE-588)1055654615",,,Reisebericht,,,,Brasilien; Reise; Geschichte 1629-1632; Karibik,TravelogueD17 Südamerika Nordamerika,*28.V.121 PRUNK,"Die Illustrationen sind 1 illustrierender Kupfertitel und 1 Kupferstich-Porträt (Porträtkupfer des Verfasser Ambrosius Richshoffer, gestochen von Johann Christoph Sartorius) als Frontispiz und 2 Kupferstich-Illustrationen, 2 Kupferstich-Karte (Brasilia Sub Regimine Batavorum ; Das Nordentheil des landes Brasilien) ; Holzschnitt-Zierleisten und Initialen im Text ; Gedruckte Marginalien ", Bibliografischer Nachweis: VD17 23:316929Y ; Bibliografie Reiseliteratur Eutin ," Blatt A2b-A3b: Vorrede an dei Leser (Geneigter Leser). Am Ende Sonnette von Johann Joachim Bockenhoffer und Johann Heinrich Rapp. - Vorlageform der Veröffentlichungsangabe auf dem Kupfertitel: Straßburg Beÿ Joßias Städeln, A°. 1677. "," Signaturformel: A-L8, M6",,Z221886200,,,
87,AC07794617,9958563975103338,http://data.onb.ac.at/ABO/%2BZ165708902,"Saar, Johann Jacob; (DE-588)124827527",,,"<<Johann Jacob Saars/>> Ost-Jndianische Funfzehen=Jährige Kriegs=Dienste/; Und Wahrhafftige Beschreibung/ Was sich Zeit solcher funfzehen Jahr/ von Anno Christi 1644, biß Anno Christi 1659. zur See/ und zu Land/ in offentlichen Treffen/ in Belägerungen/ in Stürmen/ in Eroberungen/ Portugäsen/ und Heydnischer/ Plätze und Städte/ in Marchirn, in Quartirn, mit Jhm/ und andern Seinen Camerades begeben habe/ am allermeinsten auff der grossen/ und herrlichen/ Jnsul Ceilon. Zum andern mahl heraus gegeben/ Und mit vielen denckwürdigen Notis oder Anmerckungen/ wie auch Kupfferstücken/ vermehret/ und gezieret",,Zum andern mahl heraus gegeben/ Und mit vielen denckwürdigen Notis oder Anmerckungen/ wie auch Kupfferstücken/ vermehret/ und gezieret,Nürnberg,Nürnberg; (DE-588)4042742-0,Nürnberg; (DE-588)4042742-0,Zu finden bey Johann Daniel Tauber/ Buchhändlern;Gedruckt bey Johann=Philipp Miltenberger,"Tauber, Johann Daniel; (DE-588)129126217","Miltenberger, Johann Philipp; (DE-588)1037513053",1672,1672,"48 ungezählte Seiten, 168 Seiten, 16 ungezählte Seiten, 2 ungezählte Blätter Bildtafeln,",17 Illustrationen,2°,ger,,,VD17 23:233477E,,,,"Wülfer, Daniel; (DE-588)117429740",,"Boener, Johann Alexander; (DE-588)118512722","Wülfer, Daniel; (DE-588)117429740","Fürer, Georg; (DE-588)1019731109",Reisebericht,,,,Reise; Ostindien; Geschichte 1644-1659,TravelogueD17 Asien,31.Aa.30 PRUNK,"Die Illustrationen umfassen 1 illustrierenden Titelkupfer (signiert von F. A. Böner), 1 Kupferstich-Porträt, 15 Kupferstich-Illustrationen. - Titelblatt in Rot- und Schwarzdruck ; Holzschnitt-Vignetten und Initialen ; Gedruckte Marginalien ", Bibliografischer Nachweis: VD17 23:233477E ; Bibliografie Reiseliteratur Eutin ," Blatt )(1a-)(2b: Widmungsvorrede von Daniel Wülfer an Georg Fierer, Datum Nürnberg 01.03.1672. - Blatt )(3a-)(4a: Vorrede an den Leser. - Abschied des Autoris, gezeichnet von Burckhard Koch, Datum Batavia auf Java 16.11.1659",,,Z165708902,,,
186,AC10282956,990034484100603338,http://data.onb.ac.at/ABO/%2BZ18287220X;http://data.onb.ac.at/ABO/%2BZ162223300,"Scheffer, Johannes; (DE-588)100331181",Lapponia,,<<Joannis Schefferi von Straßburg>> Lappland/; Das ist: Neue und wahrhafftige Beschreibung von Lappland und dessen Einwohnern/ worin viel bißhero  unbekandte Sachen von der Lappen Ankunnft/ Aberglauben/ Zauberkünsten/ Nahrung/ Kleidern/ Geschäfften/ wie auch von den Thieren und Metallen so es in ihrem Lande giebet/ erzählet/ und mit unterschiedlichen Figuren für gestellet worden,,,Franckfurt am Mäyn und Leipzig,Frankfurt am Main; (DE-588)4018118-2,Frankfurt am Main; Leipzig; Königsberg; (DE-588)4018118-2; (DE-588)4035206-7; (DE-588)4031541-1,Jn Verlegung Martin Hallervorden/ Buchhändlern zu Königsberg in Preussen;Gedruckt bey Johann Andreä,"Hallervord, Martin; (DE-588)133504492","Andreae, Johann; (DE-588)135718341",1675,1675,"14 ungezählte Seiten, 424 Seiten, 1 ungezähltes Blatt Bildtafel, 1 ungezähltes gefaltetes Blatt Karte","27 Illustrationen, 1 Karte",4°,ger,lat,Aus dem Lateinischen übersetzt,VD17 23:315191L,,,,,,,,"De la Gardie, Magnus Gabriel; (DE-588)119144646",,,,,Lappland; Landeskunde,TravelogueD17 Europa,MF 6018 MIK,"Die Illustrationen umfassen 1 illustrierenden Kupfertitel als Frontispiz, 1 Titelholzschnitt, 1 gestochene Karte und 24 Holzschnitt-Illustrationen, 1 Holzschnitt-Plan. - Titelblatt in Rot- und Schwarzdruck. - Holzschnitt-Vignetten und Initialen im Text "," Bibliografischer Nachweis: VD17 23:315191L ; Griep, Reiseliteratur und Geographica, 1238 ; Bibliografie Reiseliteratur Eutin "," Blatt ):(2a-):():(2b: Widmungsvorrede des Verfassers an Gabriel de la Gardie, Datum Upsala 01.05.1673. - Blatt ):():(2b-):():(3a: Vorrede an die Leser. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Franckfurt am Mäyn und Leipzig. Jn Verlegung Martin Hallervorden/ Buchhändlern zu Königsberg in Preussen. Gedruckt bey Johann Andreä. Jm Jahr 1675. "," Signaturformel: ):(4, ):():(4, A-Z4, Aa-Zz4, Aaa-Ggg4. - Fehler in der Paginierung: Seite 418 fälschlich als 426 paginiert",,Z18287220X;Z162223300,,,
187,AC10283495,990034489690603338,http://data.onb.ac.at/ABO/%2BZ180648307,"Scheidt, Hieronymus; (DE-588)129171093",,,Kurtze und wahrhafftige Reise=Beschreibung/ Der Reiß von Erffurt auß Thüringen nach dem gewesenen gelobten Lande/ und der Heil. Stadt Jerusalem; Mit beygefügten Abriß der Gelegenheit gedachter Stadt/ neben der itzigen Gestalt des Tempels und H. Grabes/ Dabey auch mehrentheils erzehlet seynd die Länder/ Städte und Oerter/ durch und an welchen hin/ ich in eigner Person beydes zu Wasser und zu Lande hinein und herausser warts gereiset als seynd: Meissen/ Francken/ Schwaben und Schweitzerland/ Lombardey/ Jtalien/ Sardinien/ Malta/ Sicilien Candia Cypern/ Palestina/ Pamphilien/ Cilicien/ Syrien/ Barbaria/ Spanien/ Portugal/ Gallicien/ Franckreich/ Engelland/ Holland/ Frießland/ Westphalen und andere Oerter mehr; verfertiget durch Hieronymum Scheidt,,,Helmstädt,Helmstedt; (DE-588)4024344-8,Helmstedt; (DE-588)4024344-8,Verlegt durch Paul Zeisingen/ Buchh. in Helmstädt,"Zeising, Paul; (DE-588)1037511956","Zeising, Paul; (DE-588)1037511956",1679,1679,"14 ungezählte Seiten, 128 Seiten, 1 ungezähltes gefaltete Blatt, 1 ungezähltes Blatt",2 Illustrationen,4°,ger,,,VD17 39:131475D,,,,"Capsius, Liborius;Gleich Recht, Theophilus; (DE-588)128581832;(DE-588)124492347",,,"Zeising, Paul; (DE-588)1037511956","Reinhardt, Johann Wilhelm; (DE-588)140228713",Reisebericht,,,,Reise; Geschichte 1614-1615; Palästina; Jerusalem; Europa; Mittelmeerraum,TravelogueD17 Europa Asien; TravelogueD17 Orient,79.Cc.398 PRUNK,"Die Illustrationen sind 2 Kupferstich-Illustrationen. - Holzschnitt-Vignetten, Zierleisten und Initialen im Text "," Bibliografischer Nachweis: VD17 39:131475D (Druckvariante: VD17 14:656529W). - Tobler, Bibliographia geographica Palaestinae, S. 94 "," Blatt ):(1a-):(2b: Widmungsvorrede des Verlegers Paul Zeising an Johann Wilhelm Reinhardt, Datum Helmstädt, 24.09.1678. - Blatt ):(3a-)(3b: Widmungsvorrede des Verfassers Hieronymus Scheidt an den Rat der Stadt Erfurt, Datum Erfurt 29.11.1615. - Blatt )(3b-)(4b: Gedichte an den Verfasser in lateinischer Sprache von Liborius Capsius, Justus Volquinus und Henning Kniphoff. - S. 85-86: Brief des Frater Angelus von Messana in lateinischer Sprache. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Verlegt durch Paul Zeisingen/ Buchh. in Helmstädt Anno 1679. "," Signaturformel: ):(4, )(4, A-Q4",,Z180648307,,,
175,AC10230776,990033951750603338,http://data.onb.ac.at/ABO/%2BZ166666101,"Schickhardt, Heinrich; (DE-588)119132796",Warhaffte Beschreibung Zweyer Raisen,,Warhaffte Beschreibung Zweyer Raisen:; welcher Erste (die Badenfahrt genannt) der DVrchleuchtig Hochgeborne Fürst vnnd Herr/ Herr Friderich Hertzog zu Württemberg vnnd Teckh/ Graue zu Mümppelgart/ Herr zu Heidenheim/ Ritter beeder vhralten Königlichen Orden/ in Franckreich S. Michaels/ vnd Hosenbandts in Engellandt/ etc. im Jahr 1592. Von Mümppelgart auß/ in das weitberühmbte Königreich Engellandt: hernach im zuruck ziehen durch die Niderlandt biß widerumb gen Mümppelgart/ wol verrichtet: Die Ander/ So Hochgemelter Fürst auß Jhrer Fürst. Gn. Landts zu Württemberg Hauptstatt Studtgarten/ im Jahr 1599. in Italiam gethan/ vnd von Rom auß/ durch vil andere Ort/ widerumb gen Studtgart/ Anno 1600. im Mayen/ glücklich heimgelangt: Wie auß dem / der Geographischen diser Andern Jtalianischen Raiß beygefügter Landt Tafeln Wegweiser eigentlich zusehen; Auff Hochgedachter Jhrer Fürst. Gn. gnädigen Befelch von dero mitraisenden/ in Engellandt Jacob Rathgeben/ Kammer Secretarien: Jn Jtalien/ Heinrich Schickharten/ Jhrer F. Gn. Bawmeistern/ (wie in selbiger Raisen Titul an seinem Ort weiter zufinden) auffs kürtzest vnd fleissigest von Tag zu Tag verzeichnet/ Vnd sampt vorhergehendem Württembergischen Newen Jahr/ etc. Erhardi Cellii Professoris zu Tübingen: mit vor Hochgedachter Jhrer Fürst. Gnaden gnädiger bewilligung/ durch eundem Cellium abermal zusamen in Truck verfertiget,,,Tübingen,Tübingen; (DE-588)4061147-4,Tübingen; (DE-588)4061147-4,in der Cellischen Truckerey,"Cellius, Erhard; (DE-588)100077609","Cellius, Erhard; (DE-588)100077609",1604,1604,"36 ungezählte Seiten, 58, 106 Blätter, 4 ungezählte Blätter, 6 ungezählte gefaltete Blätter","8 Illustrationen, 1 Karte",4°,ger,,,VD17 1:069015L,"Rathgeb, Jakob; (DE-588)12461471X",,,"Paludanus, Bernard;Cellius, Erhard;Bibeus, Simon; (DE-588)104312971;(DE-588)100077609",,"Ditzinger, Ludwig",,,Reisebericht,,Württembergisch New Jahr Das ist/ Vber die Nachfolgene Bildtnuß DEs Durchleuchtigen Hochgebornen Fürsten vnd Herren/ Herrn Friderichs Hertzogens zu Württemberg vnd Teckh ... Geschlechts/ Lebens/ Regierungs/ vnnd gantzen Landts Württembergs kurtzer Lob: Ehrn: vnd Wunsch Spruch ... 1603. 1. Januar;Index Rervm Omnivm Natvralivm;Beschreibung Einer Raiß/ Welche der DUrchleuchtig Hochgeborne Fürst vnnd Herr/ Herr Friderich Hertzog zu Württemberg vnd Teckh ... Jm Jahr 1599. selbs Neundt/ auß dem Landt zu Württemberg/ in Italiam gethan,,Reise; England; Friedrich; Geschichte 1592; Friedrich; Reise; Italien; Geschichte 1599-1600,TravelogueD17 Europa,65.H.42* PRUNK,"Die Illustrationen umfassen 2 Holzschnitt-Porträts, 1 Holzschnitt-Wappen, 1 Kupferstich-Karte (gestochen von Ludwig Ditzinger) und 5 Holzschnitt-Illustrationen. - Titelblatt in Rot- und Schwarzdruck ; Gedruckte Marginalien "," Bibliografischer Nachweis: VD17 1:069015L ; Tresoldi, 20 "," Blatt a1b: Lateinisches Versgedicht des Erhardus Cellius an den Leser. - Blatt a2a: Widmung des Verfassers an Friedrich I., von Würtemberg, Datum 01.01.1603. - Blatt a3a-e1b: Deutsches Versgedicht des Erhardus Cellius. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Tübingen/ in der Cellischen Truckerey. Anno 1604. "," Signaturformel: a-d4, e2, A2, B-P4, A-Z4, Aa-Cc4, Dd2",,Z166666101,,,
210,AC10472894,990036422950603338,http://data.onb.ac.at/ABO/%2BZ180055801,"Schickhardt, Heinrich; (DE-588)119132796",Warhaffte Beschreibung Zweyer Raisen,,Warhaffte Beschreibung Zweyer Raisen/ welcher Erste (die Badenfahrt genannt) der DVrchleuchtig Hochgeborne Fürst vnnd Herr/ Herr Friderich Hertzog zu Württemberg vnnd Teckh/ Graue zu Mümppelgart/ Herr zu Heidenheim/ Ritter beeder vhralten Königlichen Orden/ in Franckreich S. Michaels/ vnd Hosenbandts in Engellandt/ etc. im Jahr 1592. Von Mümppelgart auß/ in das weitberhümbte Königreich Engellandt: hernach im zu ruck ziehen durch die Niderlandt biß widerumb gen Mümppelgart/ wol verrichtet:; Die Ander/ so Hochgemelter Fürst auß Jhrer Fürst. Gn. Landts zu Württemberg Hauptstatt Stuttgarten/ im Jahr 1599. in Italiam gethan/ vnd von Rom auß/ durch vil andere Ort/ widerumb gen Stuttgart Anno 1600. im Mayen/ glücklich heimgelangt: Wie auß der Geographischen diser Andern Jtalianischen Raiß beygefügter Land Tafeln Wegweiser eigentlich zusehen:; Auff Hochgedachter Jhrer F. G. gnadligen Befelch von dero Mitraisenden/ in Engellandt Jacob Rahtgeben/ KammerSecretarien: in Jtalien/ Heinrich Schickhart/ Jhrer F. Gn. Bawmeistern/ (wie in derselbiger Raiß Titul an seinem Ort weiter zufinden) auffs kürzst vnd fleissigest von Tag zu Tag verzeichnet: vnnd Mit Woch Hochgedachter Jhrer F. G. gnädiger bewilligung sampt vorhergehendem Württembergischem Newen Jahr/ etc. zusamen in Truck gefertiget Durch M. Erh. Cellivm Poet. Et Hist. Professorem bey Fürstlicher löblicher Hohenschul zu Tübingen,,,Tübingen,Tübingen; (DE-588)4061147-4,Tübingen; (DE-588)4061147-4,Jn der Cellischen Truckerey,"Cellius, Erhard; (DE-588)100077609","Cellius, Erhard; (DE-588)100077609",1603,1603,"34 ungezählte Seiten, 4 Seiten, Blätter 5 - 44, 24 ungezählte Seiten, Blätter 45 - 48, 106 Blätter, 5 ungezählte gefaltete Blätter","6 Illustrationen, 1 Karte",4°,ger,,,VD17 23:236901D,"Rathgeb, Jakob; (DE-588)12461471X",,,"Paludanus, Bernard;Cellius, Erhard; (DE-588)104312971;(DE-588)100077609",,"Ditzinger, Ludwig",,,Reisebericht,,Württembergisch New Jahr Das ist/ Vber die Nachfolgene Bildtnuß DEs Durchleuchtigen Hochgebornen Fürsten vnd Herren/ Herrn Friderichs Hertzogens zu Württemberg vnd Teckh ... Geschlechts/ Lebens/ Regierungs/ vnd gantzen Landts Württembergs kurtzer Lob ... 1603. 1. Jan.;Beschreibung Einer Raiß/ Welche der DUrchleuchtig Hochgeborne Fürst vnnd Herr/ Herr Friderich Hertzog zu Württemberg vnd Teckh ... Jm Jahr 1599. selbs Neundt/ auß dem Landt zu Württemberg/ in Italiam gethan;Index Rervm Omnivm Naturalivm,,England; Friedrich; Geschichte 1592; England; Reise; Friedrich; Geschichte 1599-1600; Italien; Reise,TravelogueD17 Europa,47.Nn.143 PRUNK,"Die Illustrationen umfassen 2 Holzschnitt-Porträts (Signiert I L),  1 Holzschnitt-Wappen, 3 Holzschnitt-Illustrationen, 1 Kupferstich-Karte (gestochen von Ludwig Ditzinger). - Titelblatt in Rot- und Schwarzdruck. - Holzschnitt-Vignetten und Initialen im Text ; Gedruckte Marginalien "," Bibliografischer Nachweis: VD17 23:236901D ; Tresoldi, 20 "," Blatt a1b: Lateinisches Versgedicht des Erhardus Cellius an den Leser. - Blatt a2a: Widmung des Verfassers an Friedrich I., von Würtemberg, Datum 01.01.1603. - Blatt a3a-e1b: Deutsches Versgedicht des Erhardus Cellius. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Tübingen/ Jn der Cellischen Truckerey. Anno 1603. ; Auf dem Titelblatt zur enthaltenen Manifestation: Getruckt Zu Tübingen/ bey Erhardo Cellio. Jm Jahr/ 1603. "," Signaturformel: a-d4, A2, B-P4, A-Z4, Aa-Cc4, Dd2",,Z180055801,,,
