ko,MMS-ID,Volltext,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur
AC08513077,9958529655903338,http://data.onb.ac.at/ABO/%2BZ173325402,"Bruce, James ; (DE-588)117636258",Travels to discover the source of the Nile; 1790; http://viaf.org/viaf/186683665,,"Reisen zur Entdeckung der Quellen des Nils; in den Jahren 1768, 1769, 1770, 1771, 1772 und 1773. in fünf Bänden; von James Bruce von Kinnaird, Esq. F. R. S. Jns Teutsche übersetzt von J. J. Volkmann D. und mit einer Vorrede und Anmerkungen versehen von Johann Friedrich Blumenbach, und Thomas Christian Tychsen",Fünfter Band,,Leipzig,Leipzig; (DE-588)4035206-7,,in der Weidmannschen Buchhandlung,Weidmannische Buchhandlung; (DE-588)5036107-7,,1791,1791,"4 ungezählte Seiten, 384 Seiten, 35 Blätter Bildtafeln, 1 gefaltetes Blatt Bildtafel, 1 ungezähltes gefaltetes Blatt Karte","37 Illustrationen, 1 Karte",37 ,1 ,8°,"Die Illustrationen sind 1 Kupferstich-Vignette auf dem Titelblatt, 36 Kupferstich-Illustrationen und 1 Kupferstich-Karte (Charte von den Arabischen Meerbusen, gestochen von Frentzel)","Bibliografischer Nachweis: VD18 90267117 ; Bibliografie Reiseliteratur Eutin ; Kainbacher, Erforschung Afrikas",Seite 3-12: Einleitung,,ger,eng,Aus dem Englischen übersetzt,VD18 90267117,,,"Tychsen, Thomas Christian; (DE-588)117439479 .- Volkmann, Johann Jacob; (DE-588)104361158","Tychsen, Thomas Christian; (DE-588)117439479 .- Volkmann, Johann Jacob; (DE-588)104361158 .- Blumenbach, Johann Friedrich; (DE-588)116208503",,"Frentzel, Georg Friedrich Jonas; (DE-588)10376691X",,,Reisebericht,,,Forschungsreise; Nil; Quelle; Geschichte 1768-1773,TravelogueD18 Afrika; TravelogueD18 Orient,,253580-B.5; MAG
AC08512828,9958529656003338,http://data.onb.ac.at/ABO/%2BZ173320106,"Bruce, James ; (DE-588)117636258",Travels to discover the source of the Nile; 1790; http://viaf.org/viaf/186683665,,"Reisen zur Entdeckung der Quellen des Nils; in den Jahren 1768, 1769, 1770, 1771, 1772 und 1773 in fünf Bänden; von James Bruce von Kinnaird, Esq. F. R. S. Jns Teutsche übersetzt von J. J. Volkmann D. und mit einer Vorrede und Anmerkungen versehen von Johann Friedrich Blumenbach, Prof. zu Gött. und Königl. Großbrit. Hofrath",Vierter Band,,Leipzig,Leipzig; (DE-588)4035206-7,,in der Weidmannschen Buchhandlung,Weidmannische Buchhandlung; (DE-588)5036107-7,,1791,1791,"VI, 734 Seiten, 3 Blätter Bildtafeln",4 Illustrationen,4 ,,8°,Die Illustrationen umfassen 3 Kupferstich-Pläne und 1 Kupferstich-Vignette auf dem Titelblatt. - Fußnoten ; Tabellen,"Bibliografischer Nachweis: VD18 90267192 ; Bibliografie Reiseliteratur Eutin ; Engelmann, 166 ; Kainbacher, Erforschung Afrikas",,,ger,eng,Aus dem Englischen übersetzt,VD18 90267192,,,"Volkmann, Johann Jacob; (DE-588)104361158 .- Blumenbach, Johann Friedrich; (DE-588)116208503","Blumenbach, Johann Friedrich; (DE-588)116208503",,,,,Reisebericht,,,Forschungsreise; Nil; Quelle; Geschichte 1768-1773,TravelogueD18 Afrika; TravelogueD18 Orient,,253580-B.4; MAG
AC08512807,9958529656303338,http://data.onb.ac.at/ABO/%2BZ173319803,"Bruce, James ; (DE-588)117636258",Travels to discover the source of the Nile; 1790; http://viaf.org/viaf/186683665,,"Reisen zur Entdeckung der Quellen des Nils; in den Jahren 1768, 1769, 1770, 1771, 1772 und 1773 in fünf Bänden; von James Bruce von Kinnaird, Es. F. R. S. Jns Teutsche übersetzt von J. J. Volkmann D. und mit einer Vorrede und Anmerkungen versehen von Johann Friedrich Blumenbach. Prof. zu Gött. und Königl. Großbrit. Hofrath",Erster Band,,Leipzig,Leipzig; (DE-588)4035206-7,,in der Weidmannschen Buchhandlung,Weidmannische Buchhandlung; (DE-588)5036107-7,,1790,1790,"XXVIII, 579 Seiten, 7 ungezählte Seiten Schriftbeispiel, 8 Blätter Bildtafeln, 1 ungezähltes mehrfach gefaltetes Blatt Karte","8 Illustrationen, 1 Karte, 1 Schriftbeispiel",8 ,1 ,8°,"Die Illustrationen sind 1 Kupferstich-Vignette auf dem Titelblatt (signiert von Endner), 8 Kupferstich-Illustrationen, 1 Kupferstich-Karte, 1 Schriftbeispiel. - Fußnoten",Bibliografischer Nachweis: VD18 90267249 ; Bibliografie Reiseliteratur Eutin ; Engelmann 166,"Seite III-XXIII: Vorrede  des Herausgebers Johann Friedrich Blumenbach, Datum 10.09.1790. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Mit Churfürstl. Sächs. gnädigster Freyheit. Leipzig, in der Weidmannschen Buchhandlung. 1790.",,ger,eng,Aus dem Englischen übersetzt,VD18 90267249,,,"Volkmann, Johann Jacob; (DE-588)104361158 .- Blumenbach, Johann Friedrich; (DE-588)116208503","Blumenbach, Johann Friedrich; (DE-588)116208503",,"Endner, Gustav Georg; (DE-588)124167691",,,Reisebericht,,,Forschungsreise; Nil; Quelle; Geschichte 1768-1773,TravelogueD18 Orient; TravelogueD18 Afrika Europa,,253580-B.1; MAG
AC05626453,9958529661503338,http://data.onb.ac.at/ABO/%2BZ156725403,"Björnst°ahl, Jacob Jonas ; (DE-588)11893029X","Resa til Frankrike, Italien, Sweitz, Tyskland, Holland, England, Turkiet och Grekland; 1780-1784",,<<Jacob Jonas Björnståhl's>> Briefe auf seinen ausländischen Reisen an den Königlichen Bibliothekar C. C. Gjörwell in Stockholm; Aus dem Schwedischen übersetzt von Christian Heinrich Groskurd,Sechster Band; welcher theils Björnstahls Tagebuch der Reise nach der Türkey und des fernern Aufenthalts zu Konstantinopel und in Griechenland ; theils Professor Norbergs Briefe aus Italien und Konstantinopel enthält,,Leipzig und Rostock,Leipzig; (DE-588)4035206-7 .- Rostock; (DE-588)4050610-1,,bey Johann Christian Koppe,"Koppe, Johann Christian; (DE-588)1019285591",,1783,1783,"4 ungezählte Seiten, XXVIII, 28 ungezählte Seiten, 474 Seiten",,,,8°,Kein illustrierender Inhalt. -  Holzschnitt-Vignetten im Text,"Bibliographischer Nachweis: Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0129 ; Chatzipanagioti-Sangmeister, 0072","Seite I-XXVIII: Vorbericht des Übersetzers, Datum Stralsund 18.09.1783. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Mit Kuhrfürst. Sächsischem Privilegio. Leipzig und Rostock, bey Johann Christian Koppe. 1783.",,ger,swe,Aus dem Schwedischen übersetzt,,"Norberg, Matthias; (DE-588)119051745",,"Groskurd, Christian Heinrich; (DE-588)118053116",,,,,,Reisebericht,,,"Reise; Italien; Frankreich; Geschichte 1778-1779; Osmanisches Reich; Konstantinopel; Reise; Norberg, Matthias; Geschichte 1779; Reise; Paris; Norberg, Matthias; Geschichte 1781",TravelogueD18 Europa Asien; TravelogueD18 Orient,,*48.J.103.(Vol.6); PRUNK
AC05626451,9958529661703338,http://data.onb.ac.at/ABO/%2BZ156725208,"Björnst°ahl, Jacob Jonas ; (DE-588)11893029X","Resa til Frankrike, Italien, Sweitz, Tyskland, Holland, England, Turkiet och Grekland; 1780-1784",,<<Jacob Jonas Björnståhl>> Briefe auf seinen ausländischen Reisen an den Königlichen Bibliothekar C. C. Gjörwell in Stockholm; Aus dem Schwedischen übersetzt von Just Ernst Groskurd und Christian Heinrich Groskurd,Vierter Band; welcher Briefe aus der Türkey und Griechenland enthält,,Rostock und Leipzig,Leipzig; (DE-588)4035206-7 .- Rostock; (DE-588)4050610-1,,bey Johann Christian Koppe,"Koppe, Johann Christian; (DE-588)1019285591",,1781,1781,"18 ungezählte Seiten, 412 Seiten, 4 ungezählte Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1 ,,8°,Die Illustration ist ein gestochenes Frontispiz: Porträt-Kupfer des Verfassers (gestochen von Gottlob August Liebe),"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0129 ; Chatzipanagioti-Sangmeister, 0072","Blatt )(2a-)(7b: Vorbericht des Übersetzers, Datum Moosgaard bey Aarhuus in Jütland, 07.08.1779",,ger,swe,Aus dem Schwedischen übersetzt,,,,"Groskurd, Christian Heinrich; (DE-588)118053116 .- Groskurd, Just Ernst; (DE-588)130417971",,,"Liebe, Gottlob August; (DE-588)130561819",,,Briefsammlung; Reisebericht,,,Reise; Griechenland; Türkei; Geschichte 1777-1779; Orient; Osmanisches Reich,TravelogueD18 Europa Asien; TravelogueD18 Orient,,*48.J.103.(Vol.4); PRUNK
AC15244879,9958529662103338,http://data.onb.ac.at/ABO/%2BZ166487607,,,,"Sammlung der merkwürdigsten Reisen in den Orient; in Uebersezungen und Auszügen mit ausgewählten Kupfern und Charten, auch mit den nöthigen Einleitungen Anmerkungen und kollectiven Registern; herausgegeben von H. E. G. Paulus, der Theologie Professor Ordinarius zu Jena",Fünfter Theil,,Jena,Jena; (DE-588)4028557-1,Jena; (DE-588)4028557-1,bey Wolfgang Stahl,"Stahl, Wolfgang; (DE-588)1037619919","Stahl, Wolfgang; (DE-588)1037619919",1799,1799,"8 ungezählte Seiten, 439 Seiten",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: De Backer / Sommervogel VII, 1187. - Die Vorlage enthält 8 Briefe des Claude Sicard von seiner Mission in Ägypten als Auszüge aus den Nouveaux Memoires des Missions de la Compagnie de Iesus dans le Levant, 3 topografische Beschreibung von griechischen Inseln und 1 topografische Beschreibung des Berges Athos von Joseph Georgirenes","Vorrede des Herausgebers Heinrich Eberhard Gottlob Paulus, Datum Ostern 1799",,ger,fre; gre,Aus dem Französischen und Griechischen übersetzt,,"Sicard, Claude; (DE-588)104054700 .- Georgirenes, Joseph; (DE-588)128586842","Paulus, Heinrich Eberhard Gottlob; (DE-588)115368361",,,,,,,Reisebericht; Briefsammlung,,"Georgirenes, Joseph: Perigraphē tēs parousēs katastaseōs tēs Samou, Ikarias, Patmou, kai Athōnos; ","Mission; Ägypten; Geschichte 1706-1727; Sicard, Claude; Jesuiten; Griechenland; Topografie",TravelogueD18 Afrika Europa Asien; TravelogueD18 Orient,Zusammenstellung: mit übergeordnetem Titel von Werken mehrerer Akteure (Auszüge in Übersetzung),60.K.8.(Vol.5); PRUNK
AC15244878,9958529662203338,http://data.onb.ac.at/ABO/%2BZ166487504,,,,"Sammlung der merkwürdigsten Reisen in den Orient; in Uebersetzungen und Auszügen mit ausgewählten Kupfern und Charten, auch mit den nöthigen Einleitungen Anmerkungen und kollectiven Registern herausgegeben von H. E. G. Paulus, der Theologie Professor Ordinarius, zu Jena",Vierter Theil; mit Erläuterungen eines Naturforschers,,Jena,Jena; (DE-588)4028557-1,Jena; (DE-588)4028557-1,bey Wolfgang Stahl,"Stahl, Wolfgang; (DE-588)1037619919","Stahl, Wolfgang; (DE-588)1037619919",1798,1798,"XIV, 397 Seiten",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Zusammenstellung: Bearbeitete Übersetzungen von Abschnitten aus ""Nouveaus Mémoires des Missions de la Compagnie de Jesus dans le Levant""",Vorrede des Herausgebers Heinrich Eberhard Gottlob Paulus,,ger,fre,Enthält aus dem Französischen übersetzte Werke,,"Belon, Pierre; (DE-588)118120646 .- Du Bernat, Guillaume; (DE-588)104059222 .- Sicard, Claude; (DE-588)104054700","Paulus, Heinrich Eberhard Gottlob; (DE-588)115368361",,,,,,,Reisebericht,,"Belon, Pierre: Observations de plusieurs singularitez et choses memorables trouvées en Grèce, Asie, Judée, Egypte, Arabie & autres pays étranges; ","Reise; Mittelmeer; Griechenland; Reise; Osmanisches Reich; Belon, Pierre; Geschichte 1547-1549; Orient; Griechenland; Aleppo; Topografie; Damaskus; Topografie; Mission; Ägypten; Du Bernat, Guillaume; Geschichte vor 1711; Mission; Jesuiten; Ägypten; Sicard, Claude; Geschichte circa 1708-1712",TravelogueD18 Asien Europa Afrika; TravelogueD18 Orient,Zusammenstellung: mit übergeordnetem Titel von mehreren Akteuren (Übersetzungen ;  Auszüge),60.K.8.(Vol.4); PRUNK
AC15244876,9958529662303338,http://data.onb.ac.at/ABO/%2BZ166487401,,,,"Sammlung der merkwürdigsten Reisen in den Orient; in Uebersezungen und Auszügen mit ausgewählten Kupfern und Charten, auch mit den nöthigen Einleitungen Anmerkungen und kollectiven Registern; herausgegeben von H. E. G. Paulus , der Theologie Professor Ordinarius zu Jena",Dritter Theil,,Jena,Jena; (DE-588)4028557-1,Jena; (DE-588)4028557-1,bey Christ. Heinr. Cuno's Erben,Christian Heinrich Cuno Erben; (DE-588)6146548-3,Christian Heinrich Cuno Erben; (DE-588)6146548-3,1794,1794,"VIII, 412 Seiten, 2 ungezählte Seiten, 1 mehrfach gefaltetes ungezähltes Blatt Karte",1 Karte,,1 ,8°,Die Illustration ist 1 Kupferstich-Karte,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Zusammenstellung,"Vorrede des Herausgebers Heinrich Eberhard Gottlob Paulus, Datum Ostern 1794",,ger,fre,Enthält Auszüge von aus dem Französischen übersetzten Werk,,"Wansleben, Johann Michael; (DE-588)124386474","Paulus, Heinrich Eberhard Gottlob; (DE-588)115368361",,,,,,,Reisebericht,,"Wansleben, Johann Michael: Nouvelle relation en forme de journal d'un voyage fait en Egypte par le P. Vausleh R. D. en 1672 & 1673; ","Reise; Ägypten; Wansleben, Johann Michael; Geschichte 1663-1665; Ägypten; Topografie; Reise; Ägypten; Wansleben, Johann Michael; Geschichte 1672-1673",TravelogueD18 Afrika; TravelogueD18 Orient,,60.K.8.(Vol.3); PRUNK
AC15244873,9958529662403338,http://data.onb.ac.at/ABO/%2BZ166487309,,,,"Sammlung der merkwürdigsten Reisen in den Orient; in Uebersezungen und Auszügen mit ausgewählten Kupfern und Charten, auch mit den nöthigen Einleitungen Anmerkungen und kollectiven Registern herausgegeben von H. E. G. Paulus, der Philos. und oriental. Litteratur Prof. zu Jena",Zweiter Theil; Mit Anmerkungen eines Naturforschers,,Jena,Jena; (DE-588)4028557-1,Jena; (DE-588)4028557-1,bey Christ. Heinr. Cunos Erben,Christian Heinrich Cuno Erben; (DE-588)6146548-3,Christian Heinrich Cuno Erben; (DE-588)6146548-3,1792,1792,"272 Seiten, 2 ungezählte Seiten, XV Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte",1 Karte,,1 ,8°,Die Illustration ist 1 Kupferstich-Karte,"Bibliografischer Nachweise: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0499 (Korte, Jonas). - Zusammenstellung",,,ger,fre; ita,Enthält Auszüge von aus dem Französischen und Italienischen übersetzten Werken,,"Dandini, Girolamo; (DE-588)117622281 .- Korte, Jonas; (DE-588)139173633 .- Belon, Pierre; (DE-588)118120646","Paulus, Heinrich Eberhard Gottlob; (DE-588)115368361","Simon, Richard",,,,,,Reisebericht,,"Dandini, Girolamo: Missione apostolica al patriarca e Maroniti del Monte Libano;  .- Korte, Jonas: Reise nach dem gelobten Land;  .- Belon, Pierre: Observations de plusieurs singularitez et choses memorables trouvées en Grèce, Asie, Judée, Egypte, Arabie & autres pays étranges; ","Orient; Wallfahrt; Palästina; Ägypten; Syrien; Korte, Jonas; Geschichte 1738-1739; Gesandtschaft; Dandini, Girolamo; Libanon; Maroniten; Geschichte 1596",TravelogueD18 Asien Afrika; TravelogueD18 Orient,"Zusammenstellung: mit übergeordnetem Titel von Werken mehrere Akteure (Auszüge, Übersetzungen)",60.K.8.(Vol.2); PRUNK
AC15244869,9958529662503338,http://data.onb.ac.at/ABO/%2BZ166487206,,,,"Sammlung der merkwürdigsten Reisen in den Orient; in Uebersezungen und Auszügen mit ausgewählten Kupfern und Charten, auch mit den nöthigen Einleitungen Anmerkungen und kollectiven Registern herausgegeben von H. E. G. Paulus, der Philos. und oriental. Litteratur Prof. zu Jena",Erster Theil; mit Anmerkungen eines Naturforschers und der verbesserten D'Anvilleschen Charte von Palästina,,Jena,Jena; (DE-588)4028557-1,Jena; (DE-588)4028557-1,bey Christ. Heinr. Cunos Erben,Christian Heinrich Cuno Erben; (DE-588)6146548-3,Christian Heinrich Cuno Erben; (DE-588)6146548-3,1792,1792,"XVI Seiten, 342 Seiten, 2 ungezählte Seiten, 1 ungezähltes Blatt Bildtafel, 1 ungezähltes mehrfach gefaltetes Blatt Karte","1 Illustration, 1 Karte",1 ,1 ,8°,Die Illustrationen sind 1 Kupferstich-Plan und 1 Kupferstich-Karte,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Zusammenstellung,,,ger,fre; eng,Enthält Auszüge von aus dem Englischen und Französischen übersetzten Werken,VD18 90204832,"Maundrell, Henry; (DE-588)132232928 .- Belon, Pierre; (DE-588)118120646","Paulus, Heinrich Eberhard Gottlob; (DE-588)115368361",,,,"Liebe, Christian Gottlob; (DE-588)122834739",,,Reisebericht,,"Maundrell, Henry: Journey from Aleppo to Jerusalem;  .- Belon, Pierre: Observations de plusieurs singularitez et choses memorables trouvées en Grèce, Asie, Judée, Egypte, Arabie & autres pays étranges; ","Reise; Naher Osten; Jerusalem; Palästina; Maundrell, Henry; Geschichte 1697; Reise; Naher Osten; Sinai; Palästina; Belon, Pierre; Geschichte 1546-1549; Orient",TravelogueD18 Asien Afrika; TravelogueD18 Orient,"Zusammenstellung: mit übergeordnetem Titel von Werken mehrerer Akteure (Auszüge, Übersetzungen)",60.K.8.(Vol.1); PRUNK
AC15244768,9958529663403338,http://data.onb.ac.at/ABO/%2BZ162868803,"Pococke, Richard ; (DE-588)11768757X",<<A>> description of the East and some other countries; 1743-1745; http://viaf.org/viaf/23146462712527772442,,<<D. Richard Pococke's>> Beschreibung des Morgenlandes und einiger anderer Länder,"Dritter und letzter Theil; von den griechischen Jnseln des Archipelagus, Kleinasien, Thracien, Griechenland, und einigen andern Theilen von Europa","Neue Ausgabe nach der englischen Grundschrift genau durchgesehen und verbessert von D. Johann Friedrich Breyer Hochfürstl. Brandenburgischen Hofrath, und ordentlichen öffentl. Lehrer der Weltweisheit auf der Friedrich=Alexanders=Universität Erlangen und mit Anmerkungen erläutert von D. Johann Christian Daniel Schreber Hochfürstl. Brandenburgischen Hofrath, und Prof. der Kräuterwissenschaft, Naturhistorie und Oekonomie auf ermeldeter Universität",Beschreibung des Morgenlandes und einiger anderer Länder,Erlangen; (DE-588)4015299-6,,im Verlage der Waltherschen Buchhandlung,Walthersche Kunst- und Buchhandlung; (DE-588)1042224595,,1792,1792,"8 ungezählte Seiten, 408 Seiten, teilweise gefaltete Blätter XXXVII-CIII","67 Illustrationen, 1 Karte",67 ,1 ,4°,"Die Illustrationen sind 1 illustrierender Kupfertitel als Frontispiz, 1 Kupferstich-Karte und 66 Kupferstichillustrationen bzw. Pläne. - Holzschnitt-Vignetten ; Holzschnitt-Initialen im Text ; Gedruckte Marginalien ; Fußnoten","Bibliografischer Nachweis: VD18 90273885 ; Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 1088 ; Engelmann 120 ; Stuck I, 1119 ; Chatzipanagioti-Sangmeister, 0835 ; Tobler, Bibliographia Geographica Palaestinae, 127 ; Röhricht, Bibliotheca Geographica Palaestinae, 1396 ; Weber I, 513",Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Erlangen im Verlage der Waltherschen Buchhandlung 1793.,"Signaturformel: )(4, A-Z4, Aa-Zz4, Aaa-Eee4",ger,eng,Aus dem Englischen übersetzt,VD18 90273885,,"Breyer, Johann Friedrich; (DE-588)116495200 .- Schreber, Johann Christian Daniel; (DE-588)118795449","Windheim, Christian Ernst <<von>>; (DE-588)115445471 .- Mosheim, Johann Lorenz von","Breyer, Johann Friedrich; (DE-588)116495200 .- Schreber, Johann Christian Daniel; (DE-588)118795449",,,,,Reisebericht,,,Reise; Griechenland; Thrakien; Anatolien; Geschichte 1739-1741; Europa; Osmanisches Reich,TravelogueD18 Asien Europa; TravelogueD18 Orient,,252720-C.3; MAG
AC15244756,9958529663503338,http://data.onb.ac.at/ABO/%2BZ162868700,"Pococke, Richard ; (DE-588)11768757X",<<A>> description of the East and some other countries; 1743-1745; http://viaf.org/viaf/23146462712527772442,,<<D. Richard Pococke's>> Beschreibung des Morgenlandes und einiger anderer Länder,"Zweiter Theil; vom Heiligen Lande, Syrien, Mesopotanien, Cypern und Candien","Neue Ausgabe nach der englischen Grundschrift genau durchgesehen und verbessert von D. Johann Friedrich Breyer Hochfürstl. Brandenburgischen Hofrath, und ordentlichen öffentl. Lehrer der Weltweisheit auf der Friedrich=Alexanders=Universität Erlangen und mit Anmerkungen erläutert von D. Johann Christian Daniel Schreber Hochfürstl. Brandenb. Onolz= und Culmbachischen Hofrath, und Prof. der Kräuterwissenschaft und Oekonomie auf ermeldeter Universität",Erlangen,Erlangen; (DE-588)4015299-6,,im Verlage der Waltherschen Buchhandlung,Walthersche Kunst- und Buchhandlung; (DE-588)1042224595,,1791,1791,"8 ungezählte Seiten, 392 Seiten, 1 ungezähltes Blatt, XXXVI teilweise gefaltete Blätter","34 Illustrationen, 2 Karten, 1 Schriftbeispiel",34 ,2 ,4°,"Die Illustrationen sind 1 illustrierender Kupfertitel als Frontispiz,  33 Kupferstichillustrationen und Pläne, 2 Kupferstich-Karten, 1 Schriftbeispiel. - Holzschnitt-Vignetten ; Holzschnitt-Initialen ; Gedruckte Marginalien ; Fußnoten","Bibliografischer Nachweis: VD18 90273877 ; Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 1088 ; Engelmann 120 ; Stuck I, 1119 ;  Röhricht, Bibliotheca Geographica Palaestinae, 1396 ; Chatzipanagioti-Sangmeister, 0835. - Der Titel des Bandes ist dem Kupfertitel entnommen",Ungezählte Seite 3-8: Vorrede des Verfassers,,ger,eng,Aus dem Englischen übersetzt,VD18 90274288,,"Breyer, Johann Friedrich; (DE-588)116495200 .- Schreber, Johann Christian Daniel; (DE-588)118795449","Windheim, Christian Ernst <<von>>; (DE-588)115445471 .- Mosheim, Johann Lorenz von","Breyer, Johann Friedrich; (DE-588)116495200 .- Schreber, Johann Christian Daniel; (DE-588)118795449",,,,,Reisebericht,,,Reise; Naher Osten; Syrien; Palästina; Geschichte 1737-1739; Ägypten; Zypern; Osmanisches Reich,TravelogueD18 Asien Europa Afrika; TravelogueD18 Orient,,252720-C.2; MAG
AC15244751,9958529663603338,http://data.onb.ac.at/ABO/%2BZ162868608,"Pococke, Richard ; (DE-588)11768757X",<<A>> description of the East and some other countries; 1743-1745; http://viaf.org/viaf/23146462712527772442,,<<D. Richard Pococke's>> Beschreibung des Morgenlandes und einiger anderer Länder,Erster Theil; Von Egypten,"Neue Ausgabe nach der englischen Grundschrift genau durchgesehen und verbessert von D. Johann Friedrich Breyer Hochfürstl. Brandenburgischen Hofrath, und ordentlichen öffentlichen Lehrer der Weltweisheit auf der Friedrich-Alexanders-Universität Erlangen und mit Anmerkungen erläutert von D. Johann Christian Daniel Schreber Hochfürstl. Brandenburg Onolz= und Culmbachischen Hofrath, und Prof. der Kräuterwissenschaft und Oekonomie auf ermeldeter Universität",Erlangen,Erlangen; (DE-588)4015299-6,,im Verlage der Waltherschen Buchhandlung,"Walther, Wolfgang; (DE-588)1037496868 .- Walthersche Kunst- und Buchhandlung; (DE-588)1042224595",,1791,1791,"16 ungezählte Seiten, XXXII, 428 Seiten, 1 ungezähltes Blatt, LXXVI teilweise gefaltete Blätter, 2 ungezählte gefaltete Blätter","74 Illustration, 2 Schriftbeispiele",74 ,,4°,"Die Illustrationen sind 1 Kupfertitel als Frontispiz, 73 Kupferstichillustrationen und Pläne, 2 Schriftbeispiele. - Holzschnitt-Vignetten ; Holzschnitt-Initialen ; Gedruckte Marginalien ; Fußnoten","Bibliografischer Nachweis: VD18 90273877 ; Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 1088 ; Engelmann 120 ; Stuck I, 1119 ; Chatzipanagioti-Sangmeister, 0835 ; Röhricht, Bibliotheca Geographica Palaestinae, 1396. - Der Titel des Bandes ist dem Kupfertitel entnommen","Ungezählte Seite 3-8: Vorrede zur zweiten Ausgabe. - Ungezählte Seite 9-14: Widmungsvorrede des Verlegers Wolfgang Walther an Christian Friedrich Wilhelm Alexander, Markgraf von Brandenburg. - Seite I-XXVIII: Vorrede von Johann Lorenz von Mosheim, Datum 20.08.1754. - Seite XXIX-XXXII: Vorrede des Verfassers",,ger,eng,Aus dem Englischen übersetzt,VD18 90273877,,"Breyer, Johann Friedrich; (DE-588)116495200 .- Schreber, Johann Christian Daniel; (DE-588)118795449","Windheim, Christian Ernst <<von>>; (DE-588)115445471 .- Mosheim, Johann Lorenz <<von>>; (DE-588)118737147","Breyer, Johann Friedrich; (DE-588)116495200 .- Schreber, Johann Christian Daniel; (DE-588)118795449",,,"Walther, Wolfgang; (DE-588)1037496868",,Reisebericht,,,Reise; Nordafrika; Ägypten; Geschichte 1737/1738-1740,TravelogueD18 Afrika; TravelogueD18 Orient,,252720-C.1; MAG
AC15244044,9958529666103338,http://data.onb.ac.at/ABO/%2BZ164442104,"Chardin, John ; (DE-588)119384086",Journal du voyage du chevalier Chardin en Perse et aux Indes Orientales,,Reisen nach Persien; nebst einer Beschreibung der wichtigsten Merkwürdigkeiten dieses Reichs. Mit Kupfern; [Jean Chardin],Zweyter Band,,Frankfurt am Mayn,Frankfurt am Main; (DE-588)4018118-2,,bey Johann Gottlieb Garbe,"Garbe, Johann Gottlieb; (DE-588)117701084",,1781,1781,"4 ungezählte Seiten, 540 Seiten, 8 ungezählte gefaltete Blätter Bildtafeln",8 Illustrationen,8 ,,8°,Die Illustrationen umfassen 8 Kupferstich-illustrationen (darunter 2 signiert von J. M. Zell). - Holzschnitt-Vignetten auf dem Titelblatt und im Text,Bibliografischer Nachweis: VD18 10689370,,,ger,fre,Aus dem Französischen übersetzt,VD18 10689370,,,,,,"Zell, Johann Michael; (DE-588)140394524",,,Reisebericht,,,Iran; Reise; Geschichte 1664-1667; Orient,TravelogueD18 Asien; TravelogueD18 Orient,,252281-A.2; MAG
